box,cls,model,total,training,step,mode,validation
0.0068129217,0.328301,0.6689471,0.77486056,,128000,eval,0.77486056
0.00215866,0.16600046,0.27393335,0.3797317,0.3797317,129000,train,
0.0068782796,0.323802,0.667716,0.77339953,,129000,eval,0.77339953
0.0021293315,0.16368382,0.27015015,0.37571895,0.37571895,130000,train,
0.0065547214,0.31355482,0.64129084,0.7467456,,130000,eval,0.7467456
0.0021659464,0.16513114,0.27342856,0.3787692,0.3787692,131000,train,
0.006776758,0.32043353,0.6592715,0.76449853,,131000,eval,0.76449853
0.0021439295,0.16421345,0.27141005,0.3765241,0.3765241,132000,train,
0.0066423994,0.31652185,0.64864177,0.75364214,,132000,eval,0.75364214
0.0021767442,0.1657201,0.2745572,0.37944508,0.37944508,133000,train,
0.0065627703,0.31728473,0.6454233,0.75019777,,133000,eval,0.75019777
0.002115431,0.16259676,0.26836848,0.3730299,0.3730299,134000,train,
0.0064298604,0.30652058,0.6280136,0.73256266,,134000,eval,0.73256266
0.0021123497,0.1624356,0.26805314,0.37249032,0.37249032,135000,train,
0.006773073,0.32266584,0.6613195,0.76564366,,135000,eval,0.76564366
0.0021629394,0.16460314,0.27275014,0.37696278,0.37696278,136000,train,
0.0064037684,0.3105588,0.63074726,0.7348479,,136000,eval,0.7348479
0.0020815053,0.16028608,0.26436132,0.36835086,0.36835086,137000,train,
0.0066732015,0.30688953,0.64054954,0.7444278,,137000,eval,0.7444278
0.0021357695,0.16286732,0.26965567,0.37342322,0.37342322,138000,train,
0.00678706,0.31817564,0.65752864,0.7611847,,138000,eval,0.7611847
0.0021422221,0.16479814,0.2719094,0.37545562,0.37545562,139000,train,
0.0068066893,0.31827873,0.65861315,0.76204926,,139000,eval,0.76204926
0.0020406425,0.1584342,0.26046616,0.3637929,0.3637929,140000,train,
0.0068453113,0.31604657,0.6583122,0.7615286,,140000,eval,0.7615286
0.0021970498,0.16573146,0.27558362,0.37869164,0.37869164,141000,train,
0.0063159447,0.30694965,0.6227469,0.7257458,,141000,eval,0.7257458
0.0020871842,0.16038601,0.26474515,0.3676354,0.3676354,142000,train,
0.0065759025,0.3139289,0.64272404,0.74550533,,142000,eval,0.74550533
